keyword,tfidf_delta_covid_period_shift,tfidf_delta_cumulative_change,tfidf_delta_government_change_pre_covid,log_odds_z_covid_period_shift,log_odds_z_cumulative_change,log_odds_z_government_change_pre_covid,effect_pattern,absolute_cumulative_tfidf_change
플랫폼,0.003863933714834453,0.006944884774706404,0.0030809510598719513,53.37281885242581,113.75486411701868,64.21953233168108,cumulative_reconfiguration,0.006944884774706404
주택,0.003959875614708631,0.00620414280757699,0.0022442671928683587,45.24760649451628,81.02835286461553,34.081559558885736,cumulative_reconfiguration,0.00620414280757699
디지털,0.004020104318543761,0.005855584492735802,0.0018354801741920414,60.705918124408825,97.68512552364268,36.66896318605323,cumulative_reconfiguration,0.005855584492735802
소상공인,0.0027527115558420405,0.004388638249415905,0.0016359266935738648,41.48863999689016,82.31327146812974,44.26462811189142,cumulative_reconfiguration,0.004388638249415905
정책,0.000401989738683637,0.003886178660731897,0.00348418892204826,7.931680291940974,49.41508258156592,41.03602452576136,pre_existing_government_change,0.003886178660731897
뉴딜,0.0032575901195866096,0.003582739627158474,0.00032514950757186464,69.75404661196997,84.39637041615431,17.927816000505036,cumulative_reconfiguration,0.003582739627158474
공정,0.0014405600582919906,0.003538762636962959,0.0020982025786709683,19.4622527225162,59.25976321718814,39.179355305342966,pre_existing_government_change,0.003538762636962959
데이터,0.0007027528266649111,0.0030479469594580626,0.0023451941327931516,16.647678848779787,64.60277921982535,47.902291761994434,pre_existing_government_change,0.0030479469594580626
인공지능,-0.0006119166952939215,0.0027453873049787005,0.003357304000272622,-5.013899446931329,56.26911110025004,61.00381352645053,pre_existing_government_change,0.0027453873049787005
산업,-0.0016667819674734217,0.0025163499945614447,0.004183131962034866,-9.998640105633674,39.62783403207122,49.96052786377925,pre_existing_government_change,0.0025163499945614447
비대면,0.002316355083086379,0.002375844318745396,5.948923565901732e-05,53.673540229416055,60.45069480182861,6.662693745652478,cumulative_reconfiguration,0.002375844318745396
종부세,0.0017441149334794554,0.002373528741643221,0.0006294138081637656,43.29579737147184,69.70613219632575,32.92263979790848,cumulative_reconfiguration,0.002373528741643221
기후,0.0021353166853553497,0.0022500468783113146,0.00011473019295596496,44.19567258440105,50.62004838869543,3.9000312781961366,cumulative_reconfiguration,0.0022500468783113146
판단,0.0008755819082967211,0.002223415144555478,0.001347833236258757,8.445245901583851,41.015758766065325,32.12774388472439,pre_existing_government_change,0.002223415144555478
물량,0.001757922908724619,0.0021827693941162338,0.0004248464853916147,36.45399314150839,49.93445429237176,12.066140366815574,cumulative_reconfiguration,0.0021827693941162338
가상,0.0012199782346090412,0.00215212606470244,0.0009321478300933988,24.271250713944863,55.62401153912205,32.236363280131194,cumulative_reconfiguration,0.00215212606470244
모빌리티,0.0007611244211040852,0.0021480418393395374,0.0013869174182354524,19.274373831936444,62.09318468551331,46.73983235027303,pre_existing_government_change,0.0021480418393395374
공급망,0.001925199479901808,0.002125292135365553,0.000200092655463745,45.351822193846246,55.38007696643133,12.18337865021815,cumulative_reconfiguration,0.002125292135365553
활용,0.0007014529151710769,0.002106956299276582,0.001405503384105505,15.005322035801566,40.62058902477148,24.88160626258877,pre_existing_government_change,0.002106956299276582
