period,period_label,keyword,tfidf
park_2013_2017,박근혜정부(2013-2017),가계,0.0019075955362483133
park_2013_2017,박근혜정부(2013-2017),가계부채,0.0011201689559040852
park_2013_2017,박근혜정부(2013-2017),가공,0.0008570860877129804
park_2013_2017,박근혜정부(2013-2017),가까이,0.0009442300617045152
park_2013_2017,박근혜정부(2013-2017),가난,0.0017798717386464918
park_2013_2017,박근혜정부(2013-2017),가능성이,0.0009477661287037759
park_2013_2017,박근혜정부(2013-2017),가담,0.0009635189207898371
park_2013_2017,박근혜정부(2013-2017),가동,0.001973648188078387
park_2013_2017,박근혜정부(2013-2017),가량,0.0025309377595833676
park_2013_2017,박근혜정부(2013-2017),가맹점,0.000627346214643046
park_2013_2017,박근혜정부(2013-2017),가사,0.001063930338866233
park_2013_2017,박근혜정부(2013-2017),가상,0.0006511868608245224
park_2013_2017,박근혜정부(2013-2017),가속화,0.0008760445860242379
park_2013_2017,박근혜정부(2013-2017),가스,0.0018985052906710775
park_2013_2017,박근혜정부(2013-2017),가슴,0.0024274872006953756
park_2013_2017,박근혜정부(2013-2017),가을,0.0014904360317688683
park_2013_2017,박근혜정부(2013-2017),가입자,0.0021864334732427004
park_2013_2017,박근혜정부(2013-2017),가전,0.0007885311268244133
park_2013_2017,박근혜정부(2013-2017),가족들,0.0021260619774688566
park_2013_2017,박근혜정부(2013-2017),가중,0.0008171539749628052
park_2013_2017,박근혜정부(2013-2017),가짜,0.0013070675918738105
park_2013_2017,박근혜정부(2013-2017),가치,0.006604862431412043
park_2013_2017,박근혜정부(2013-2017),가해자,0.0010728424427484742
park_2013_2017,박근혜정부(2013-2017),각각,0.0010363831219101069
park_2013_2017,박근혜정부(2013-2017),각국,0.0023942538450703777
park_2013_2017,박근혜정부(2013-2017),각오,0.0015653204421138883
park_2013_2017,박근혜정부(2013-2017),각자,0.000910233780027403
park_2013_2017,박근혜정부(2013-2017),간사,0.001243375558922923
park_2013_2017,박근혜정부(2013-2017),간주,0.0007184935084628597
park_2013_2017,박근혜정부(2013-2017),간판,0.0009571601757608357
park_2013_2017,박근혜정부(2013-2017),간호사,0.0010721528690887652
park_2013_2017,박근혜정부(2013-2017),갈등,0.005708153993332168
park_2013_2017,박근혜정부(2013-2017),감각,0.0011216157202024325
park_2013_2017,박근혜정부(2013-2017),감당,0.0009343221072609377
park_2013_2017,박근혜정부(2013-2017),감동,0.0015318722991032175
park_2013_2017,박근혜정부(2013-2017),감면,0.0012625484330720449
park_2013_2017,박근혜정부(2013-2017),감사원장,0.0005516469948079373
park_2013_2017,박근혜정부(2013-2017),감성,0.0010503975348543839
park_2013_2017,박근혜정부(2013-2017),감수,0.0008330469820157607
park_2013_2017,박근혜정부(2013-2017),감시,0.0023502116099555497
park_2013_2017,박근혜정부(2013-2017),감안,0.0022168343155295673
park_2013_2017,박근혜정부(2013-2017),감염병,0.0005962037389923432
park_2013_2017,박근혜정부(2013-2017),감염자,0.000386169931972093
park_2013_2017,박근혜정부(2013-2017),감옥,0.0007633089027549347
park_2013_2017,박근혜정부(2013-2017),감정,0.0025918934713511288
park_2013_2017,박근혜정부(2013-2017),감지,0.0008138803039068525
park_2013_2017,박근혜정부(2013-2017),감축,0.0015938967441229933
park_2013_2017,박근혜정부(2013-2017),갑질,0.0007570013628633246
park_2013_2017,박근혜정부(2013-2017),강경,0.0008782166531412406
park_2013_2017,박근혜정부(2013-2017),강국,0.0006757483700887116
park_2013_2017,박근혜정부(2013-2017),강남구,0.0016914885384268848
park_2013_2017,박근혜정부(2013-2017),강도,0.0018862888703186603
park_2013_2017,박근혜정부(2013-2017),강릉,0.0006634835265787893
park_2013_2017,박근혜정부(2013-2017),강사,0.001256613928570028
park_2013_2017,박근혜정부(2013-2017),강세,0.0010773724677086813
park_2013_2017,박근혜정부(2013-2017),강연,0.0019449751832661473
park_2013_2017,박근혜정부(2013-2017),강요,0.001428025130093211
park_2013_2017,박근혜정부(2013-2017),강의,0.0019669066716538814
park_2013_2017,박근혜정부(2013-2017),강제,0.0023725217319869474
park_2013_2017,박근혜정부(2013-2017),강행,0.0016657378151482625
park_2013_2017,박근혜정부(2013-2017),갖고,0.001137330730204241
park_2013_2017,박근혜정부(2013-2017),개각,0.0008956540678965333
park_2013_2017,박근혜정부(2013-2017),개념,0.00240117538714516
park_2013_2017,박근혜정부(2013-2017),개막,0.0021799947210910304
park_2013_2017,박근혜정부(2013-2017),개발,0.0009496383846032168
park_2013_2017,박근혜정부(2013-2017),개방,0.002156449865302947
park_2013_2017,박근혜정부(2013-2017),개봉,0.0024292384467456823
park_2013_2017,박근혜정부(2013-2017),개선,0.008617241758638199
park_2013_2017,박근혜정부(2013-2017),개설,0.0015920455670420523
park_2013_2017,박근혜정부(2013-2017),개성,0.002127667284805584
park_2013_2017,박근혜정부(2013-2017),개시,0.0007731894407021034
park_2013_2017,박근혜정부(2013-2017),개인,0.006429842232077918
