comparison,interpretation,keyword,period_a,period_b,count_a,count_b,log_odds_z_b_vs_a,direction,abs_log_odds_z,rank_abs_z
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,우한,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,124,7536,47.82132167045634,moon_post_covid_2020_2022,47.82132167045634,30.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,화상,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2010,11792,47.37354843149066,moon_post_covid_2020_2022,47.37354843149066,31.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,집단감염,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,4,6861,46.6762101834644,moon_post_covid_2020_2022,46.6762101834644,32.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,델타,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,125,6989,45.958236273452044,moon_post_covid_2020_2022,45.958236273452044,33.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,혁신성장,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,10239,1560,-45.8809043879408,moon_pre_covid_2017_2019,45.8809043879408,34.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,류재복,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,42,6709,45.78436891919415,moon_post_covid_2020_2022,45.78436891919415,35.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,증상,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5895,18301,45.50213823726754,moon_post_covid_2020_2022,45.50213823726754,36.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,공급망,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,973,8919,45.351822193846246,moon_post_covid_2020_2022,45.351822193846246,37.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,정권교체,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1426,9906,45.282902095800644,moon_post_covid_2020_2022,45.282902095800644,38.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,주택,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,50995,79815,45.247606494516276,moon_post_covid_2020_2022,45.247606494516276,39.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,기본소득,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2092,11209,44.997555489972264,moon_post_covid_2020_2022,44.997555489972264,40.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,화이자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,138,6708,44.850935756363434,moon_post_covid_2020_2022,44.850935756363434,41.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,한국판,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1206,9281,44.800152316595636,moon_post_covid_2020_2022,44.800152316595636,42.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,블랙리스트,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,13036,3169,-44.70779819831329,moon_pre_covid_2017_2019,44.70779819831329,43.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,대선후보,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,735,8167,44.67505839315721,moon_post_covid_2020_2022,44.67505839315721,44.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,바른정당,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,6420,97,-44.54876187749912,moon_pre_covid_2017_2019,44.54876187749912,45.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,기후,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,6327,18542,44.19567258440105,moon_post_covid_2020_2022,44.19567258440105,46.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,중립,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5476,17002,43.8596466480874,moon_post_covid_2020_2022,43.8596466480874,47.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,탄소중립,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,50,6153,43.72928712484815,moon_post_covid_2020_2022,43.72928712484815,48.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,폐기,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,18441,6537,-43.6423651003789,moon_pre_covid_2017_2019,43.6423651003789,49.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,관세,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,12321,3016,-43.34087597518088,moon_pre_covid_2017_2019,43.34087597518088,50.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,주호영,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2258,11031,43.33926614248621,moon_post_covid_2020_2022,43.33926614248621,51.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,종부세,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,3820,13938,43.295797371471835,moon_post_covid_2020_2022,43.295797371471835,52.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,근로,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,21793,8808,-43.09159483689407,moon_pre_covid_2017_2019,43.09159483689407,53.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,열린민주당,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0,5808,42.98049518913499,moon_post_covid_2020_2022,42.98049518913499,54.0
