keyword,tfidf_park_original,tfidf_moon_original,importance_original,delta_moon_minus_park_original,pct_change_moon_vs_park_original,condition_original,tfidf_park_covid_filtered,tfidf_moon_covid_filtered,importance_covid_filtered,delta_moon_minus_park_covid_filtered,pct_change_moon_vs_park_covid_filtered,condition_covid_filtered,retained_in_top_n,rank_original,rank_covid_filtered,rank_change_filtered_minus_original
평가,0.021424437881401893,0.02141955529347515,0.04284399317487704,-4.882587926743204e-06,-0.02278980645266626,original_base,0.021424437881401893,0.02141955529347515,0.04284399317487704,-4.882587926743204e-06,-0.02278980645266626,covid_filtered,True,1.0,1.0,0.0
공무원,0.018774762602866004,0.014916784965587052,0.03369154756845306,-0.003857977637278952,-20.548742580052778,original_base,0.018774762602866004,0.014916784965587052,0.03369154756845306,-0.003857977637278952,-20.548742580052778,covid_filtered,True,2.0,2.0,0.0
정책,0.013544216443042406,0.018601652275639556,0.03214586871868196,0.00505743583259715,37.34018762816751,original_base,0.013544216443042406,0.018601652275639556,0.03214586871868196,0.00505743583259715,37.34018762816751,covid_filtered,True,3.0,3.0,0.0
청년,0.011972526242414669,0.013954609080411212,0.02592713532282588,0.0019820828379965433,16.555259916446744,original_base,0.011972526242414669,0.013954609080411212,0.02592713532282588,0.0019820828379965433,16.555259916446744,covid_filtered,True,4.0,4.0,0.0
교육,0.012964845312988157,0.011464316632549055,0.024429161945537212,-0.0015005286804391019,-11.573826329696931,original_base,0.012964845312988157,0.011464316632549055,0.024429161945537212,-0.0015005286804391019,-11.573826329696931,covid_filtered,True,5.0,5.0,0.0
혁신,0.012137773305762694,0.012240362852358048,0.02437813615812074,0.0001025895465953542,0.8452089523425801,original_base,0.012137773305762694,0.012240362852358048,0.02437813615812074,0.0001025895465953542,0.8452089523425801,covid_filtered,True,6.0,6.0,0.0
추진,0.010881365432332032,0.012874967038866354,0.023756332471198384,0.001993601606534322,18.321244874385815,original_base,0.010881365432332032,0.012874967038866354,0.023756332471198384,0.001993601606534322,18.321244874385815,covid_filtered,True,7.0,7.0,0.0
인사,0.011113182839090425,0.012111672615666409,0.023224855454756832,0.000998489776575984,8.984732736186197,original_base,0.011113182839090425,0.012111672615666409,0.023224855454756832,0.000998489776575984,8.984732736186197,covid_filtered,True,8.0,8.0,0.0
여성,0.010528840061117454,0.01223987819011565,0.022768718251233104,0.0017110381289981956,16.25096514968429,original_base,0.010528840061117454,0.01223987819011565,0.022768718251233104,0.0017110381289981956,16.25096514968429,covid_filtered,True,9.0,9.0,0.0
운영,0.010765414600656564,0.011804450608887617,0.022569865209544182,0.0010390360082310531,9.651611635725429,original_base,0.010765414600656564,0.011804450608887617,0.022569865209544182,0.0010390360082310531,9.651611635725429,covid_filtered,True,10.0,10.0,0.0
일자리,0.009727479637041864,0.012323891927293173,0.022051371564335037,0.0025964122902513084,26.69152120724336,original_base,0.009727479637041864,0.012323891927293173,0.022051371564335037,0.0025964122902513084,26.69152120724336,covid_filtered,True,11.0,11.0,0.0
산업,0.008524345055704678,0.012679844156218133,0.02120418921192281,0.004155499100513455,48.74860265930348,original_base,0.008524345055704678,0.012679844156218133,0.02120418921192281,0.004155499100513455,48.74860265930348,covid_filtered,True,12.0,12.0,0.0
조직,0.011427313246437506,0.009501052329719189,0.020928365576156696,-0.0019262609167183167,-16.85663878443897,original_base,0.011427313246437506,0.009501052329719189,0.020928365576156696,-0.0019262609167183167,-16.85663878443897,covid_filtered,True,13.0,13.0,0.0
참여,0.009579683202437116,0.010421983208323417,0.02000166641076053,0.0008423000058863008,8.792566393761495,original_base,0.009579683202437116,0.010421983208323417,0.02000166641076053,0.0008423000058863008,8.792566393761495,covid_filtered,True,14.0,14.0,0.0
비판,0.008955238480080254,0.010764239810512194,0.019719478290592448,0.0018090013304319398,20.200481924136632,original_base,0.008955238480080254,0.010764239810512194,0.019719478290592448,0.0018090013304319398,20.200481924136632,covid_filtered,True,15.0,15.0,0.0
정보,0.009592532136015871,0.009842820765877586,0.01943535290189346,0.0002502886298617144,2.609202933206627,original_base,0.009592532136015871,0.009842820765877586,0.01943535290189346,0.0002502886298617144,2.609202933206627,covid_filtered,True,16.0,16.0,0.0
성장,0.008701498629046874,0.01073194370334409,0.019433442332390964,0.0020304450742972165,23.334429629389287,original_base,0.008701498629046874,0.01073194370334409,0.019433442332390964,0.0020304450742972165,23.334429629389287,covid_filtered,True,17.0,17.0,0.0
관리,0.009243709516093776,0.009904757965884543,0.01914846748197832,0.0006610484497907663,7.151333008029372,original_base,0.009243709516093776,0.009904757965884543,0.01914846748197832,0.0006610484497907663,7.151333008029372,covid_filtered,True,18.0,18.0,0.0
성과,0.00936903187154573,0.009471500191303658,0.018840532062849386,0.00010246831975792813,1.0936916552619498,original_base,0.00936903187154573,0.009471500191303658,0.018840532062849386,0.00010246831975792813,1.0936916552619498,covid_filtered,True,19.0,19.0,0.0
개혁,0.010483335455789269,0.008353259052970971,0.01883659450876024,-0.0021300764028182977,-20.318689712843195,original_base,0.010483335455789269,0.008353259052970971,0.01883659450876024,-0.0021300764028182977,-20.318689712843195,covid_filtered,True,20.0,20.0,0.0
논란,0.00874647133000509,0.010044489407601135,0.018790960737606225,0.0012980180775960456,14.84047713211095,original_base,0.00874647133000509,0.010044489407601135,0.018790960737606225,0.0012980180775960456,14.84047713211095,covid_filtered,True,21.0,21.0,0.0
개선,0.008731818356006052,0.009576138397543028,0.018307956753549078,0.0008443200415369761,9.669464103730732,original_base,0.008731818356006052,0.009576138397543028,0.018307956753549078,0.0008443200415369761,9.669464103730732,covid_filtered,True,22.0,22.0,0.0
주택,0.005829607638629751,0.011161267169810968,0.01699087480844072,0.005331659531181217,91.45829122102673,original_base,0.005829607638629751,0.011161267169810968,0.01699087480844072,0.005331659531181217,91.45829122102673,covid_filtered,True,23.0,23.0,0.0
전략,0.007260802643253836,0.008811446185686203,0.01607224882894004,0.0015506435424323672,21.356365385762174,original_base,0.007260802643253836,0.008811446185686203,0.01607224882894004,0.0015506435424323672,21.356365385762174,covid_filtered,True,24.0,24.0,0.0
직원,0.007693292102697342,0.008307645219079148,0.01600093732177649,0.0006143531163818059,7.985568572996309,original_base,0.007693292102697342,0.008307645219079148,0.01600093732177649,0.0006143531163818059,7.985568572996309,covid_filtered,True,25.0,25.0,0.0
판단,0.006720594657175135,0.009259739875100243,0.01598033453227538,0.002539145217925108,37.781555761799,original_base,0.006720594657175135,0.009259739875100243,0.01598033453227538,0.002539145217925108,37.781555761799,covid_filtered,True,26.0,26.0,0.0
역할,0.0073735530685704416,0.00859632054439511,0.015969873612965552,0.0012227674758246683,16.58315149363581,original_base,0.0073735530685704416,0.00859632054439511,0.015969873612965552,0.0012227674758246683,16.58315149363581,covid_filtered,True,27.0,27.0,0.0
규제,0.006163917196915079,0.009651724298953474,0.015815641495868553,0.003487807102038394,56.58426274421684,original_base,0.006163917196915079,0.009651724298953474,0.015815641495868553,0.003487807102038394,56.58426274421684,covid_filtered,True,28.0,28.0,0.0
의미,0.007652711336941653,0.008139764325182848,0.0157924756621245,0.00048705298824119544,6.364450020348506,original_base,0.007652711336941653,0.008139764325182848,0.0157924756621245,0.00048705298824119544,6.364450020348506,covid_filtered,True,29.0,29.0,0.0
활용,0.006425295102030237,0.008788332518075606,0.015213627620105842,0.0023630374160453693,36.77710328508814,original_base,0.006425295102030237,0.008788332518075606,0.015213627620105842,0.0023630374160453693,36.77710328508814,covid_filtered,True,30.0,30.0,0.0
책임,0.007950853476748614,0.0072438047248433585,0.015194658201591972,-0.0007070487519052551,-8.892740307351161,original_base,0.007950853476748614,0.0072438047248433585,0.015194658201591972,-0.0007070487519052551,-8.892740307351161,covid_filtered,True,31.0,31.0,0.0
업무,0.006822568679439357,0.008215942385483519,0.015038511064922877,0.0013933737060441613,20.423007396660775,original_base,0.006822568679439357,0.008215942385483519,0.015038511064922877,0.0013933737060441613,20.423007396660775,covid_filtered,True,32.0,32.0,0.0
가치,0.006610517568721783,0.007603876333152342,0.014214393901874126,0.0009933587644305594,15.026943867916176,original_base,0.006610517568721783,0.007603876333152342,0.014214393901874126,0.0009933587644305594,15.026943867916176,covid_filtered,True,33.0,33.0,0.0
마음,0.006879584801485709,0.0066307296025179905,0.0135103144040037,-0.00024885519896771825,-3.6172996793930894,original_base,0.006879584801485709,0.0066307296025179905,0.0135103144040037,-0.00024885519896771825,-3.6172996793930894,covid_filtered,True,34.0,34.0,0.0
경영,0.00682110630896816,0.006429404560993816,0.013250510869961976,-0.00039170174797434343,-5.742495868439218,original_base,0.00682110630896816,0.006429404560993816,0.013250510869961976,-0.00039170174797434343,-5.742495868439218,covid_filtered,True,35.0,35.0,0.0
개인,0.006360270466465784,0.0066920176901658504,0.013052288156631633,0.0003317472237000666,5.215929502513889,original_base,0.006360270466465784,0.0066920176901658504,0.013052288156631633,0.0003317472237000666,5.215929502513889,covid_filtered,True,36.0,36.0,0.0
경쟁,0.0061418878177775605,0.005866533014750779,0.01200842083252834,-0.0002753548030267816,-4.483227489596491,original_base,0.0061418878177775605,0.005866533014750779,0.01200842083252834,-0.0002753548030267816,-4.483227489596491,covid_filtered,True,37.0,37.0,0.0
경험,0.005624244572006379,0.006378900033037345,0.012003144605043724,0.0007546554610309659,13.417899086165663,original_base,0.005624244572006379,0.006378900033037345,0.012003144605043724,0.0007546554610309659,13.417899086165663,covid_filtered,True,38.0,38.0,0.0
고용,0.0052808188200792455,0.006595064137498361,0.011875882957577607,0.0013142453174191156,24.88715031127301,original_base,0.0052808188200792455,0.006595064137498361,0.011875882957577607,0.0013142453174191156,24.88715031127301,covid_filtered,True,39.0,39.0,0.0
노동자,0.0057100307897773915,0.00598231852599495,0.011692349315772342,0.00027228773621755867,4.768586129255775,original_base,0.0057100307897773915,0.00598231852599495,0.011692349315772342,0.00027228773621755867,4.768586129255775,covid_filtered,True,40.0,40.0,0.0
제안,0.005801865291698455,0.005881017051770556,0.011682882343469012,7.915176007210114e-05,1.3642467739703419,original_base,0.005801865291698455,0.005881017051770556,0.011682882343469012,7.915176007210114e-05,1.3642467739703419,covid_filtered,True,41.0,41.0,0.0
갈등,0.0055659512379057806,0.006007015559504623,0.011572966797410404,0.00044106432159884273,7.924329602369919,original_base,0.0055659512379057806,0.006007015559504623,0.011572966797410404,0.00044106432159884273,7.924329602369919,covid_filtered,True,42.0,42.0,0.0
복지,0.006769078209125399,0.004770490035326112,0.011539568244451511,-0.0019985881737992865,-29.525263441409034,original_base,0.006769078209125399,0.004770490035326112,0.011539568244451511,-0.0019985881737992865,-29.525263441409034,covid_filtered,True,43.0,43.0,0.0
공정,0.003713817022226668,0.007134919348509781,0.01084873637073645,0.003421102326283113,92.11822515240522,original_base,0.003713817022226668,0.007134919348509781,0.01084873637073645,0.003421102326283113,92.11822515240522,covid_filtered,True,44.0,44.0,0.0
능력,0.005784341331179157,0.005013035834839759,0.010797377166018916,-0.0007713054963393983,-13.334370366109862,original_base,0.005784341331179157,0.005013035834839759,0.010797377166018916,-0.0007713054963393983,-13.334370366109862,covid_filtered,True,45.0,45.0,0.0
연금,0.007508589808926117,0.003191085084186258,0.010699674893112375,-0.004317504724739858,-57.500873461049416,original_base,0.007508589808926117,0.003191085084186258,0.010699674893112375,-0.004317504724739858,-57.500873461049416,covid_filtered,True,46.0,46.0,0.0
경쟁력,0.005309873627785845,0.0053759677181368214,0.010685841345922667,6.609409035097675e-05,1.2447394228954034,original_base,0.005309873627785845,0.0053759677181368214,0.010685841345922667,6.609409035097675e-05,1.2447394228954034,covid_filtered,True,47.0,47.0,0.0
공공,0.004503182118703848,0.00600776947648887,0.010510951595192717,0.001504587357785022,33.411647988558094,original_base,0.004503182118703848,0.00600776947648887,0.010510951595192717,0.001504587357785022,33.411647988558094,covid_filtered,True,48.0,48.0,0.0
계약,0.00488079612104829,0.00561369996835989,0.010494496089408181,0.0007329038473116002,15.016071745979593,original_base,0.00488079612104829,0.00561369996835989,0.010494496089408181,0.0007329038473116002,15.016071745979593,covid_filtered,True,49.0,49.0,0.0
임금,0.004984625968566507,0.0054142209728713425,0.01039884694143785,0.00042959500430483563,8.618399996587502,original_base,0.004984625968566507,0.0054142209728713425,0.01039884694143785,0.00042959500430483563,8.618399996587502,covid_filtered,True,50.0,50.0,0.0
취업,0.005847285272773155,0.004544516449570301,0.010391801722343455,-0.0013027688232028533,-22.279891649360174,original_base,0.005847285272773155,0.004544516449570301,0.010391801722343455,-0.0013027688232028533,-22.279891649360174,covid_filtered,True,51.0,51.0,0.0
절차,0.004270969690918105,0.006048988477267755,0.01031995816818586,0.0017780187863496496,41.63033022993519,original_base,0.004270969690918105,0.006048988477267755,0.01031995816818586,0.0017780187863496496,41.63033022993519,covid_filtered,True,52.0,52.0,0.0
현실,0.005388812681557563,0.004666631364382051,0.010055444045939613,-0.0007221813171755121,-13.40149231104421,original_base,0.005388812681557563,0.004666631364382051,0.010055444045939613,-0.0007221813171755121,-13.40149231104421,covid_filtered,True,53.0,53.0,0.0
이해,0.004930177743340972,0.004950819783899773,0.009880997527240745,2.0642040558800645e-05,0.4186875531349994,original_base,0.004930177743340972,0.004950819783899773,0.009880997527240745,2.0642040558800645e-05,0.4186875531349994,covid_filtered,True,54.0,54.0,0.0
폐지,0.004573849263987438,0.005306964858166452,0.00988081412215389,0.0007331155941790136,16.028416151604663,original_base,0.004573849263987438,0.005306964858166452,0.00988081412215389,0.0007331155941790136,16.028416151604663,covid_filtered,True,55.0,55.0,0.0
노동,0.005359349654054166,0.004453187199058806,0.009812536853112973,-0.0009061624549953603,-16.908067461317422,original_base,0.005359349654054166,0.004453187199058806,0.009812536853112973,-0.0009061624549953603,-16.908067461317422,covid_filtered,True,56.0,56.0,0.0
의료,0.004573599902340456,0.0051508301698357,0.009724430072176157,0.0005772302674952436,12.620917435297665,original_base,0.004573599902340456,0.0051508301698357,0.009724430072176157,0.0005772302674952436,12.620917435297665,covid_filtered,True,57.0,57.0,0.0
디지털,0.002418247508413491,0.0072597552814603165,0.009678002789873807,0.0048415077730468254,200.20728879911601,original_base,0.002418247508413491,0.0072597552814603165,0.009678002789873807,0.0048415077730468254,200.20728879911601,covid_filtered,True,58.0,58.0,0.0
소통,0.004489106149461528,0.0051325122165707966,0.009621618366032324,0.0006434060671092687,14.332609782159992,original_base,0.004489106149461528,0.0051325122165707966,0.009621618366032324,0.0006434060671092687,14.332609782159992,covid_filtered,True,59.0,59.0,0.0
플랫폼,0.0014933680483118,0.00805689680726971,0.009550264855581511,0.00656352875895791,439.51179793740386,original_base,0.0014933680483118,0.00805689680726971,0.009550264855581511,0.00656352875895791,439.51179793740386,covid_filtered,True,60.0,60.0,0.0
인식,0.004682074302721373,0.004803346465513265,0.009485420768234637,0.00012127216279189234,2.5901375106628497,original_base,0.004682074302721373,0.004803346465513265,0.009485420768234637,0.00012127216279189234,2.5901375106628497,covid_filtered,True,61.0,61.0,0.0
행위,0.0044887404240959595,0.004995153892866287,0.009483894316962248,0.0005064134687703279,11.281861300151268,original_base,0.0044887404240959595,0.004995153892866287,0.009483894316962248,0.0005064134687703279,11.281861300151268,covid_filtered,True,62.0,62.0,0.0
주도,0.004439316752818741,0.004978537589012302,0.009417854341831042,0.0005392208361935614,12.146482583185431,original_base,0.004439316752818741,0.004978537589012302,0.009417854341831042,0.0005392208361935614,12.146482583185431,covid_filtered,True,63.0,63.0,0.0
노조,0.005009666625487721,0.004357887202535322,0.009367553828023043,-0.0006517794229523987,-13.010435058419562,original_base,0.005009666625487721,0.004357887202535322,0.009367553828023043,-0.0006517794229523987,-13.010435058419562,covid_filtered,True,64.0,64.0,0.0
근무,0.004121864648447462,0.005117563922861763,0.009239428571309225,0.0009956992744143012,24.156525246148984,original_base,0.004121864648447462,0.005117563922861763,0.009239428571309225,0.0009956992744143012,24.156525246148984,covid_filtered,True,65.0,65.0,0.0
행정,0.004563795487907277,0.004662922630488082,0.009226718118395358,9.912714258080487e-05,2.1720329678107353,original_base,0.004563795487907277,0.004662922630488082,0.009226718118395358,9.912714258080487e-05,2.1720329678107353,covid_filtered,True,66.0,66.0,0.0
공격,0.004507617140999553,0.004678760062273756,0.00918637720327331,0.00017114292127420275,3.7967492784059345,original_base,0.004507617140999553,0.004678760062273756,0.00918637720327331,0.00017114292127420275,3.7967492784059345,covid_filtered,True,67.0,67.0,0.0
신뢰,0.004484445500567545,0.004655410326411388,0.009139855826978932,0.00017096482584384298,3.812396110560512,original_base,0.004484445500567545,0.004655410326411388,0.009139855826978932,0.00017096482584384298,3.812396110560512,covid_filtered,True,68.0,68.0,0.0
약속,0.004180913417750512,0.004876128986494051,0.009057042404244563,0.0006952155687435391,16.62831776883797,original_base,0.004180913417750512,0.004876128986494051,0.009057042404244563,0.0006952155687435391,16.62831776883797,covid_filtered,True,69.0,69.0,0.0
인권,0.004203495828174195,0.004792358678258872,0.008995854506433067,0.000588862850084677,14.00888389463329,original_base,0.004203495828174195,0.004792358678258872,0.008995854506433067,0.000588862850084677,14.00888389463329,covid_filtered,True,70.0,70.0,0.0
반발,0.004186312105166257,0.004792618503558302,0.00897893060872456,0.0006063063983920451,14.483067271640177,original_base,0.004186312105166257,0.004792618503558302,0.00897893060872456,0.0006063063983920451,14.483067271640177,covid_filtered,True,71.0,71.0,0.0
인력,0.003952232637792653,0.004785397463346643,0.008737630101139296,0.0008331648255539906,21.080864966980243,original_base,0.003952232637792653,0.004785397463346643,0.008737630101139296,0.0008331648255539906,21.080864966980243,covid_filtered,True,72.0,72.0,0.0
개편,0.003933567763689951,0.004734013455239481,0.008667581218929432,0.0008004456915495298,20.349101366405794,original_base,0.003933567763689951,0.004734013455239481,0.008667581218929432,0.0008004456915495298,20.349101366405794,covid_filtered,True,73.0,73.0,0.0
희망,0.004467370667737201,0.0041657055064625945,0.008633076174199795,-0.0003016651612746061,-6.752633343214491,original_base,0.004467370667737201,0.0041657055064625945,0.008633076174199795,-0.0003016651612746061,-6.752633343214491,covid_filtered,True,74.0,74.0,0.0
공사,0.0043619241901039565,0.004017383242322688,0.008379307432426646,-0.00034454094778126835,-7.898829341485117,original_base,0.0043619241901039565,0.004017383242322688,0.008379307432426646,-0.00034454094778126835,-7.898829341485117,covid_filtered,True,75.0,75.0,0.0
행동,0.00409619779231037,0.0042646786609108365,0.008360876453221207,0.00016848086860046622,4.1131038378261096,original_base,0.00409619779231037,0.0042646786609108365,0.008360876453221207,0.00016848086860046622,4.1131038378261096,covid_filtered,True,76.0,76.0,0.0
인재,0.0037266778562564363,0.004447694284718137,0.008174372140974573,0.0007210164284617011,19.34743104374427,original_base,0.0037266778562564363,0.004447694284718137,0.008174372140974573,0.0007210164284617011,19.34743104374427,covid_filtered,True,77.0,77.0,0.0
원칙,0.00385412145782675,0.0042139864031204045,0.008068107860947155,0.00035986494529365465,9.337145941855558,original_base,0.00385412145782675,0.0042139864031204045,0.008068107860947155,0.00035986494529365465,9.337145941855558,covid_filtered,True,78.0,78.0,0.0
세금,0.00387938187520646,0.004009747835872465,0.007889129711078925,0.000130365960666005,3.3604828000869835,original_base,0.00387938187520646,0.004009747835872465,0.007889129711078925,0.000130365960666005,3.3604828000869835,covid_filtered,True,79.0,79.0,0.0
부정,0.00367066627150224,0.0039935197487787535,0.007664186020280994,0.00032285347727651357,8.795500691060756,original_base,0.00367066627150224,0.0039935197487787535,0.007664186020280994,0.00032285347727651357,8.795500691060756,covid_filtered,True,80.0,80.0,0.0
근로자,0.0038144712463025923,0.0037053369953935615,0.007519808241696154,-0.00010913425090903085,-2.8610584236233487,original_base,0.0038144712463025923,0.0037053369953935615,0.007519808241696154,-0.00010913425090903085,-2.8610584236233487,covid_filtered,True,81.0,81.0,0.0
체계,0.003373278093445054,0.004135209013541548,0.007508487106986602,0.0007619309200964939,22.587254859807622,original_base,0.003373278093445054,0.004135209013541548,0.007508487106986602,0.0007619309200964939,22.587254859807622,covid_filtered,True,82.0,82.0,0.0
데이터,0.0020726482422585377,0.005406560633463175,0.007479208875721712,0.003333912391204637,160.85278356600037,original_base,0.0020726482422585377,0.005406560633463175,0.007479208875721712,0.003333912391204637,160.85278356600037,covid_filtered,True,83.0,83.0,0.0
승진,0.003776617298705662,0.0033011132369085905,0.0070777305356142526,-0.00047550406179707166,-12.590739918498981,original_base,0.003776617298705662,0.0033011132369085905,0.0070777305356142526,-0.00047550406179707166,-12.590739918498981,covid_filtered,True,84.0,84.0,0.0
장애인,0.0032486742103732405,0.0037920952733804312,0.007040769483753671,0.0005434210630071907,16.72747181825773,original_base,0.0032486742103732405,0.0037920952733804312,0.007040769483753671,0.0005434210630071907,16.72747181825773,covid_filtered,True,85.0,85.0,0.0
권한,0.0031505974567617523,0.00382289919569175,0.006973496652453502,0.0006723017389299976,21.33886502977765,original_base,0.0031505974567617523,0.00382289919569175,0.006973496652453502,0.0006723017389299976,21.33886502977765,covid_filtered,True,86.0,86.0,0.0
공직자,0.0029999880066555926,0.0038806182256863253,0.0068806062323419175,0.0008806302190307327,29.354457987065928,original_base,0.0029999880066555926,0.0038806182256863253,0.0068806062323419175,0.0008806302190307327,29.354457987065928,covid_filtered,True,87.0,87.0,0.0
육성,0.003211142577527126,0.003524648978308378,0.006735791555835504,0.0003135064007812518,9.763079440174856,original_base,0.003211142577527126,0.003524648978308378,0.006735791555835504,0.0003135064007812518,9.763079440174856,covid_filtered,True,88.0,88.0,0.0
인공지능,0.0013314643523257936,0.005352563953565913,0.006684028305891707,0.0040210996012401195,302.0058024246829,original_base,0.0013314643523257936,0.005352563953565913,0.006684028305891707,0.0040210996012401195,302.0058024246829,covid_filtered,True,89.0,89.0,0.0
허용,0.0031741667903927083,0.0033703003198977833,0.006544467110290492,0.00019613352950507501,6.179055558728511,original_base,0.0031741667903927083,0.0033703003198977833,0.006544467110290492,0.00019613352950507501,6.179055558728511,covid_filtered,True,90.0,90.0,0.0
불안,0.0031354873211769125,0.003072639888318865,0.006208127209495777,-6.284743285804757e-05,-2.0043912291904165,original_base,0.0031354873211769125,0.003072639888318865,0.006208127209495777,-6.284743285804757e-05,-2.0043912291904165,covid_filtered,True,91.0,91.0,0.0
변경,0.002983823675913292,0.0031942577055936415,0.006178081381506934,0.00021043402968034955,7.052495473477991,original_base,0.002983823675913292,0.0031942577055936415,0.006178081381506934,0.00021043402968034955,7.052495473477991,covid_filtered,True,92.0,92.0,0.0
전기,0.0028432458016594514,0.003298332338710623,0.006141578140370075,0.0004550865370511717,16.00588091207457,original_base,0.0028432458016594514,0.003298332338710623,0.006141578140370075,0.0004550865370511717,16.00588091207457,covid_filtered,True,93.0,93.0,0.0
태도,0.003291786900153256,0.0028404700146050766,0.0061322569147583324,-0.0004513168855481793,-13.710391931117027,original_base,0.003291786900153256,0.0028404700146050766,0.0061322569147583324,-0.0004513168855481793,-13.710391931117027,covid_filtered,True,94.0,94.0,0.0
네트워크,0.002918866208422732,0.003202873921172168,0.0061217401295948996,0.0002840077127494356,9.730069570503023,original_base,0.002918866208422732,0.003202873921172168,0.0061217401295948996,0.0002840077127494356,9.730069570503023,covid_filtered,True,95.0,95.0,0.0
발굴,0.002756951602143955,0.0032966345951541036,0.006053586197298059,0.0005396829930101486,19.57535245052767,original_base,0.002756951602143955,0.0032966345951541036,0.006053586197298059,0.0005396829930101486,19.57535245052767,covid_filtered,True,96.0,96.0,0.0
영역,0.0029496210574591246,0.003090921739322969,0.006040542796782094,0.00014130068186384449,4.79046898266872,original_base,0.0029496210574591246,0.003090921739322969,0.006040542796782094,0.00014130068186384449,4.79046898266872,covid_filtered,True,97.0,97.0,0.0
