keyword,count_moon_original,count_park_original,log_odds_z_original,direction_original,abs_log_odds_z_original,condition_original,rank_original,count_moon_covid_filtered,count_park_covid_filtered,log_odds_z_covid_filtered,direction_covid_filtered,abs_log_odds_z_covid_filtered,condition_covid_filtered,rank_covid_filtered,retained_in_top_n,direction_stable,rank_change_filtered_minus_original
다주택자,13129.0,1183.0,40.199482719400315,문재인정부,40.199482719400315,original_base,38.0,13129.0,1183.0,40.42016502473023,문재인정부,40.42016502473023,covid_filtered,31.0,True,True,-7.0
공급망,9892.0,327.0,39.75392781456536,문재인정부,39.75392781456536,original_base,39.0,9892.0,327.0,39.9383718394782,문재인정부,39.9383718394782,covid_filtered,33.0,True,True,-6.0
소득주도성장,9224.0,168.0,39.647406226833894,문재인정부,39.647406226833894,original_base,40.0,9224.0,168.0,39.823643708829394,문재인정부,39.823643708829394,covid_filtered,34.0,True,True,-6.0
밀레니얼,11004.0,668.0,39.413213606388005,문재인정부,39.413213606388005,original_base,41.0,11004.0,668.0,39.61144887461059,문재인정부,39.61144887461059,covid_filtered,35.0,True,True,-6.0
재택근무,10792.0,641.0,39.14832805753242,문재인정부,39.14832805753242,original_base,42.0,10792.0,641.0,39.34447347938732,문재인정부,39.34447347938732,covid_filtered,36.0,True,True,-6.0
블록체,8631.0,76.0,39.131813309002254,문재인정부,39.131813309002254,original_base,43.0,8631.0,76.0,39.30112588723688,문재인정부,39.30112588723688,covid_filtered,37.0,True,True,-6.0
갑질,20526.0,3913.0,38.719411845549786,문재인정부,38.719411845549786,original_base,45.0,20526.0,3913.0,39.01185388817787,문재인정부,39.01185388817787,covid_filtered,38.0,True,True,-7.0
최저임금,29185.0,7314.0,38.48300377690927,문재인정부,38.48300377690927,original_base,46.0,29185.0,7314.0,38.84256970035776,문재인정부,38.84256970035776,covid_filtered,39.0,True,True,-7.0
바이오,26459.0,6344.0,37.93864435008462,문재인정부,37.93864435008462,original_base,47.0,26459.0,6344.0,38.27917566076222,문재인정부,38.27917566076222,covid_filtered,40.0,True,True,-7.0
성과연봉제,929.0,4435.0,-37.789187403302286,박근혜정부,37.789187403302286,original_base,48.0,929.0,4435.0,-37.65193018178279,박근혜정부,37.65193018178279,covid_filtered,41.0,True,True,-7.0
공무원,206324.0,154617.0,-37.50054843976285,박근혜정부,37.50054843976285,original_base,49.0,206324.0,154617.0,-36.34628210836582,박근혜정부,36.34628210836582,covid_filtered,48.0,True,True,-1.0
해고,13752.0,17369.0,-37.42611140621906,박근혜정부,37.42611140621906,original_base,50.0,13752.0,17369.0,-37.0875854478336,박근혜정부,37.0875854478336,covid_filtered,43.0,True,True,-7.0
무상급식,2812.0,6687.0,-36.89956556594221,박근혜정부,36.89956556594221,original_base,51.0,2812.0,6687.0,-36.71415148791269,박근혜정부,36.71415148791269,covid_filtered,46.0,True,True,-5.0
가상화폐,8222.0,224.0,36.7067186571436,문재인정부,36.7067186571436,original_base,52.0,8222.0,224.0,36.87418447320808,문재인정부,36.87418447320808,covid_filtered,44.0,True,True,-8.0
공시가격,8457.0,288.0,36.676738014928844,문재인정부,36.676738014928844,original_base,53.0,8457.0,288.0,36.84739614636402,문재인정부,36.84739614636402,covid_filtered,45.0,True,True,-8.0
활용,133213.0,57718.0,36.63063533162662,문재인정부,36.63063533162662,original_base,54.0,133213.0,57718.0,37.4633995623873,문재인정부,37.4633995623873,covid_filtered,42.0,True,True,-12.0
경제활성화,437.0,3490.0,-36.58618663925932,박근혜정부,36.58618663925932,original_base,55.0,437.0,3490.0,-36.469965522572444,박근혜정부,36.469965522572444,covid_filtered,47.0,True,True,-8.0
김희옥,119.0,2845.0,-35.95263976858158,박근혜정부,35.95263976858158,original_base,56.0,119.0,2845.0,-35.8531320356039,박근혜정부,35.8531320356039,covid_filtered,51.0,True,True,-5.0
물량,27847.0,7418.0,35.673182482924986,문재인정부,35.673182482924986,original_base,58.0,27847.0,7418.0,36.02709244701946,문재인정부,36.02709244701946,covid_filtered,50.0,True,True,-8.0
