keyword,tfidf_park,tfidf_moon,importance,delta_moon_minus_park,pct_change_moon_vs_park,condition
평가,0.021424437881401893,0.02141955529347515,0.04284399317487704,-4.882587926743204e-06,-0.02278980645266626,original_base
공무원,0.018774762602866004,0.014916784965587052,0.03369154756845306,-0.003857977637278952,-20.548742580052778,original_base
정책,0.013544216443042406,0.018601652275639556,0.03214586871868196,0.00505743583259715,37.34018762816751,original_base
청년,0.011972526242414669,0.013954609080411212,0.02592713532282588,0.0019820828379965433,16.555259916446744,original_base
교육,0.012964845312988157,0.011464316632549055,0.024429161945537212,-0.0015005286804391019,-11.573826329696931,original_base
혁신,0.012137773305762694,0.012240362852358048,0.02437813615812074,0.0001025895465953542,0.8452089523425801,original_base
추진,0.010881365432332032,0.012874967038866354,0.023756332471198384,0.001993601606534322,18.321244874385815,original_base
인사,0.011113182839090425,0.012111672615666409,0.023224855454756832,0.000998489776575984,8.984732736186197,original_base
여성,0.010528840061117454,0.01223987819011565,0.022768718251233104,0.0017110381289981956,16.25096514968429,original_base
운영,0.010765414600656564,0.011804450608887617,0.022569865209544182,0.0010390360082310531,9.651611635725429,original_base
일자리,0.009727479637041864,0.012323891927293173,0.022051371564335037,0.0025964122902513084,26.69152120724336,original_base
산업,0.008524345055704678,0.012679844156218133,0.02120418921192281,0.004155499100513455,48.74860265930348,original_base
조직,0.011427313246437506,0.009501052329719189,0.020928365576156696,-0.0019262609167183167,-16.85663878443897,original_base
참여,0.009579683202437116,0.010421983208323417,0.02000166641076053,0.0008423000058863008,8.792566393761495,original_base
비판,0.008955238480080254,0.010764239810512194,0.019719478290592448,0.0018090013304319398,20.200481924136632,original_base
정보,0.009592532136015871,0.009842820765877586,0.01943535290189346,0.0002502886298617144,2.609202933206627,original_base
성장,0.008701498629046874,0.01073194370334409,0.019433442332390964,0.0020304450742972165,23.334429629389287,original_base
관리,0.009243709516093776,0.009904757965884543,0.01914846748197832,0.0006610484497907663,7.151333008029372,original_base
성과,0.00936903187154573,0.009471500191303658,0.018840532062849386,0.00010246831975792813,1.0936916552619498,original_base
개혁,0.010483335455789269,0.008353259052970971,0.01883659450876024,-0.0021300764028182977,-20.318689712843195,original_base
논란,0.00874647133000509,0.010044489407601135,0.018790960737606225,0.0012980180775960456,14.84047713211095,original_base
개선,0.008731818356006052,0.009576138397543028,0.018307956753549078,0.0008443200415369761,9.669464103730732,original_base
주택,0.005829607638629751,0.011161267169810968,0.01699087480844072,0.005331659531181217,91.45829122102673,original_base
전략,0.007260802643253836,0.008811446185686203,0.01607224882894004,0.0015506435424323672,21.356365385762174,original_base
직원,0.007693292102697342,0.008307645219079148,0.01600093732177649,0.0006143531163818059,7.985568572996309,original_base
판단,0.006720594657175135,0.009259739875100243,0.01598033453227538,0.002539145217925108,37.781555761799,original_base
역할,0.0073735530685704416,0.00859632054439511,0.015969873612965552,0.0012227674758246683,16.58315149363581,original_base
규제,0.006163917196915079,0.009651724298953474,0.015815641495868553,0.003487807102038394,56.58426274421684,original_base
의미,0.007652711336941653,0.008139764325182848,0.0157924756621245,0.00048705298824119544,6.364450020348506,original_base
활용,0.006425295102030237,0.008788332518075606,0.015213627620105842,0.0023630374160453693,36.77710328508814,original_base
책임,0.007950853476748614,0.0072438047248433585,0.015194658201591972,-0.0007070487519052551,-8.892740307351161,original_base
업무,0.006822568679439357,0.008215942385483519,0.015038511064922877,0.0013933737060441613,20.423007396660775,original_base
가치,0.006610517568721783,0.007603876333152342,0.014214393901874126,0.0009933587644305594,15.026943867916176,original_base
마음,0.006879584801485709,0.0066307296025179905,0.0135103144040037,-0.00024885519896771825,-3.6172996793930894,original_base
경영,0.00682110630896816,0.006429404560993816,0.013250510869961976,-0.00039170174797434343,-5.742495868439218,original_base
개인,0.006360270466465784,0.0066920176901658504,0.013052288156631633,0.0003317472237000666,5.215929502513889,original_base
경쟁,0.0061418878177775605,0.005866533014750779,0.01200842083252834,-0.0002753548030267816,-4.483227489596491,original_base
경험,0.005624244572006379,0.006378900033037345,0.012003144605043724,0.0007546554610309659,13.417899086165663,original_base
고용,0.0052808188200792455,0.006595064137498361,0.011875882957577607,0.0013142453174191156,24.88715031127301,original_base
노동자,0.0057100307897773915,0.00598231852599495,0.011692349315772342,0.00027228773621755867,4.768586129255775,original_base
제안,0.005801865291698455,0.005881017051770556,0.011682882343469012,7.915176007210114e-05,1.3642467739703419,original_base
갈등,0.0055659512379057806,0.006007015559504623,0.011572966797410404,0.00044106432159884273,7.924329602369919,original_base
복지,0.006769078209125399,0.004770490035326112,0.011539568244451511,-0.0019985881737992865,-29.525263441409034,original_base
공정,0.003713817022226668,0.007134919348509781,0.01084873637073645,0.003421102326283113,92.11822515240522,original_base
능력,0.005784341331179157,0.005013035834839759,0.010797377166018916,-0.0007713054963393983,-13.334370366109862,original_base
연금,0.007508589808926117,0.003191085084186258,0.010699674893112375,-0.004317504724739858,-57.500873461049416,original_base
경쟁력,0.005309873627785845,0.0053759677181368214,0.010685841345922667,6.609409035097675e-05,1.2447394228954034,original_base
공공,0.004503182118703848,0.00600776947648887,0.010510951595192717,0.001504587357785022,33.411647988558094,original_base
계약,0.00488079612104829,0.00561369996835989,0.010494496089408181,0.0007329038473116002,15.016071745979593,original_base
임금,0.004984625968566507,0.0054142209728713425,0.01039884694143785,0.00042959500430483563,8.618399996587502,original_base
취업,0.005847285272773155,0.004544516449570301,0.010391801722343455,-0.0013027688232028533,-22.279891649360174,original_base
절차,0.004270969690918105,0.006048988477267755,0.01031995816818586,0.0017780187863496496,41.63033022993519,original_base
현실,0.005388812681557563,0.004666631364382051,0.010055444045939613,-0.0007221813171755121,-13.40149231104421,original_base
이해,0.004930177743340972,0.004950819783899773,0.009880997527240745,2.0642040558800645e-05,0.4186875531349994,original_base
폐지,0.004573849263987438,0.005306964858166452,0.00988081412215389,0.0007331155941790136,16.028416151604663,original_base
노동,0.005359349654054166,0.004453187199058806,0.009812536853112973,-0.0009061624549953603,-16.908067461317422,original_base
의료,0.004573599902340456,0.0051508301698357,0.009724430072176157,0.0005772302674952436,12.620917435297665,original_base
디지털,0.002418247508413491,0.0072597552814603165,0.009678002789873807,0.0048415077730468254,200.20728879911601,original_base
소통,0.004489106149461528,0.0051325122165707966,0.009621618366032324,0.0006434060671092687,14.332609782159992,original_base
플랫폼,0.0014933680483118,0.00805689680726971,0.009550264855581511,0.00656352875895791,439.51179793740386,original_base
인식,0.004682074302721373,0.004803346465513265,0.009485420768234637,0.00012127216279189234,2.5901375106628497,original_base
행위,0.0044887404240959595,0.004995153892866287,0.009483894316962248,0.0005064134687703279,11.281861300151268,original_base
주도,0.004439316752818741,0.004978537589012302,0.009417854341831042,0.0005392208361935614,12.146482583185431,original_base
노조,0.005009666625487721,0.004357887202535322,0.009367553828023043,-0.0006517794229523987,-13.010435058419562,original_base
근무,0.004121864648447462,0.005117563922861763,0.009239428571309225,0.0009956992744143012,24.156525246148984,original_base
