topic,covid_filtered_same_topic_space,original_base,gap_change_filtered_minus_original,abs_gap_change
4,0.016429,0.026297,-0.009868000000000002,0.009868000000000002
6,0.005746000000000001,0.004239999999999994,0.0015060000000000073,0.0015060000000000073
1,0.012755000000000002,0.011383000000000004,0.0013719999999999982,0.0013719999999999982
0,-0.0065759999999999985,-0.007944999999999994,0.0013689999999999952,0.0013689999999999952
5,-0.018613000000000005,-0.01990299999999999,0.0012899999999999856,0.0012899999999999856
3,0.025158999999999987,0.024054999999999993,0.0011039999999999939,0.0011039999999999939
2,-0.016350000000000003,-0.017313999999999996,0.0009639999999999926,0.0009639999999999926
8,-0.0012660000000000032,-0.0021769999999999984,0.0009109999999999951,0.0009109999999999951
7,-0.02188699999999999,-0.022611999999999993,0.0007250000000000034,0.0007250000000000034
9,0.004600999999999994,0.003974999999999992,0.0006260000000000016,0.0006260000000000016
