원결과 키워드,유지 여부
교과서,X
국정원,X
김무성,X
김한길,X
더민주,X
메르스,X
박근혜,X
반기문,X
새누리,X
새누리당,X
새정치민주연합,X
새정치연합,X
성완종,X
세월,X
세월호,X
오바마,X
유병언,X
이석기,X
이완구,X
이정현,X
임금피크제,X
장성택,X
정치민주연합,X
진보당,X
창조,X
창조경제,X
최경환,X
최순실,X
프레시안,X
한수진,X
