단어,빈도
세대,543
청년,344
사회,276
연금,268
정년,266
노조,237
업무,203
정치,181
인사,179
국민,178
노동,177
개혁,176
임금,174
갈등,167
연장,166
여성,165
생각,162
근무,155
혁신,154
조직,149
기업,141
경제,136
고용,135
직원,129
상황,126
공직,125
일자리,125
퇴직,122
교수,115
인구,113
승진,112
구조,104
기사,104
문화,103
지원,102
개선,94
민원,87
기준,87
노동자,82
공정,81
직장,80
지급,79
피해,76
이탈,72
기간,71
체계,71
미래,66
채용,66
경쟁,65
중심,64
