시기,토픽,단어
2020–2025,Topic 1,"업무, 세대, 피해, 직원, 여성, 직장, 박원순, 국민, 개선, 조직"
2020–2025,Topic 2,"공직, 혁신, 사회, 기사, 세대, 인사, 조직, 반바지, 근무, 문화"
2020–2025,Topic 3,"정치, 청년, 여성, 승진, 근무, 갈등, 중도, 생각, 사회, 정당"
2020–2025,Topic 4,"연금, 정년, 연장, 세대, 개혁, 청년, 인구, 사회, 국민, 퇴직"
2020–2025,Topic 5,"세대, 노조, 청년, 노동, 정년, 임금, 일자리, 고용, 사회, 노동자"
