단어,빈도
세대,558
연금,487
청년,374
국민,360
사회,268
정치,233
갈등,222
임금,166
일자리,141
애국,136
개혁,133
생각,129
경제,127
국민연금,126
고용,121
시험,110
기업,107
소득,106
보험료,93
취업,86
권력,79
연령,75
헌법,75
복지,74
공약,73
노동,72
채용,71
정년,70
인턴,70
인구,69
보장,69
구조,69
현실,67
정규직,65
해결,65
상황,65
여성,65
준비,65
지급,62
정도,61
지원,61
비정규직,60
대체,60
역사,60
참여,59
고령,55
교육,55
가능,53
노동자,53
자신,52
