word,freq,year
기분,6,2015
정규직,16,2015
공무원,172,2015
소리,2,2015
관리직,5,2015
회식,2,2015
자리,7,2015
이번,4,2015
전환,7,2015
작업,7,2015
반장,4,2015
무직,4,2015
노동자,39,2015
미끼,2,2015
사이,12,2015
언어,5,2015
성폭력,3,2015
장면,3,2015
업무,8,2015
지휘,2,2015
권력,6,2015
관계,1,2015
이용,8,2015
정규,9,2015
공무,5,2015
폭력,4,2015
트집,1,2015
성희롱,2,2015
직장,18,2015
부문,4,2015
개월,17,2015
부연,4,2015
위원,32,2015
한국,125,2015
직업,6,2015
능력,12,2015
개발,12,2015
서유정,2,2015
근로자,20,2015
실태,5,2015
보고서,8,2015
소속,3,2015
피해자,5,2015
경험,16,2015
조사,16,2015
지방자치단체,4,2015
채용,45,2015
비정규직,19,2015
무기계약직,2,2015
가해자,3,2015
실장,4,2015
대다수,5,2015
여성,33,2015
빈도,1,2015
평균,11,2015
남성,1,2015
직접,3,2015
고용,106,2015
간접,3,2015
제기,20,2015
회사,16,2015
가능성,13,2015
조직,5,2015
위치,4,2015
취약,4,2015
용역,2,2015
업체,6,2015
연구,20,2015
예방,2,2015
개선,7,2015
공직,2,2015
사회,121,2015
인식,4,2015
교육,14,2015
처별,2,2015
규정,10,2015
마련,21,2015
동시,6,2015
칼럼,7,2015
세상,9,2015
누가,2,2015
일본,13,2015
정부,88,2015
분야,11,2015
지도,4,2015
비율,20,2015
동안,2,2015
계획,6,2015
포기,10,2015
기사,10,2015
마이니치신문,6,2015
조간,4,2015
지금,3,2015
구조,27,2015
진출,4,2015
확대,26,2015
달성,5,2015
판단,8,2015
유지,15,2015
정책,48,2015
목표,4,2015
대신,2,2015
중앙,8,2015
부처,10,2015
과장,5,2015
차지,7,2015
현실,15,2015
모집,4,2015
유치원,34,2015
신입,2,2015
추첨,10,2015
한창,3,2015
비용,8,2015
시설,3,2015
공립,10,2015
지원,36,2015
서울,24,2015
지역,11,2015
경쟁률,5,2015
기록,2,2015
입학,5,2015
행운,3,2015
학부모,2,2015
로또,8,2015
당첨,2,2015
비유,2,2015
사립,2,2015
최소,4,2015
긴장,2,2015
원아,2,2015
전문,21,2015
아우성,2,2015
한일,2,2015
나라,27,2015
저출산,14,2015
고령화,18,2015
직면,9,2015
해결,23,2015
묘수,2,2015
젊은이,19,2015
결혼,10,2015
아이,25,2015
학교,27,2015
졸업,27,2015
출산,9,2015
연령,26,2015
학제,3,2015
단축,5,2015
검토,5,2015
헛발질,2,2015
저잣거리,2,2015
고민,5,2015
고사,3,2015
언론,6,2015
동성,2,2015
반복,2,2015
이야기,12,2015
경청,2,2015
의심,8,2015
미래,25,2015
걱정,17,2015
블랙코미디,2,2015
경쟁,17,2015
내년,18,2015
누리,12,2015
과정,8,2015
무상,7,2015
보육,11,2015
예산,23,2015
부담,44,2015
갈등,63,2015
국회,55,2015
사업,18,2015
목적,11,2015
비비,2,2015
우회,3,2015
예산안,3,2015
통과,22,2015
근본,2,2015
대책,23,2015
땜질,2,2015
처방,2,2015
지방,4,2015
교육청,2,2015
경기도,4,2015
의회,10,2015
서울시,8,2015
삭감,13,2015
여당,10,2015
대통령,66,2015
공약,8,2015
어린이집,7,2015
편성,3,2015
국가,32,2015
슬로,2,2015
재원,11,2015
조달,2,2015
바늘,6,2015
구멍,6,2015
부족,14,2015
상태,11,2015
수용,6,2015
협력,8,2015
아동,2,2015
만족도,3,2015
꼴찌,2,2015
부모,46,2015
불행,2,2015
무한,2,2015
궤도,2,2015
조선,8,2015
시작,16,2015
엄마,5,2015
육아,5,2015
카페,4,2015
분노,6,2015
오디션,2,2015
프로그램,6,2015
출연,2,2015
가사,2,2015
주목,18,2015
중식,2,2015
아기,4,2015
노래,2,2015
절규,2,2015
맞벌이,2,2015
부부,3,2015
얼굴,2,2015
주말,2,2015
철근,2,2015
시시각각,6,2015
청사,6,2015
복도,2,2015
근무,10,2015
시간,23,2015
중간,2,2015
통화,5,2015
대역,2,2015
고개,2,2015
휴지통,2,2015
이모,4,2015
야근,2,2015
선생님,7,2015
급식,2,2015
당번,2,2015
읍소,4,2015
한숨,2,2015
종종걸음,2,2015
사무실,5,2015
대한민국,31,2015
관료,3,2015
진입,10,2015
유능,2,2015
일상,2,2015
생각,34,2015
핵심,13,2015
믿음,5,2015
숫자,9,2015
매국노,2,2015
닦달,5,2015
순간,2,2015
남자,2,2015
전화,5,2015
여자,2,2015
자유,2,2015
고생,3,2015
속마음,2,2015
불평등,4,2015
야간,2,2015
탁아소,2,2015
의무,14,2015
책임,11,2015
국민,126,2015
사고방식,2,2015
수렴,2,2015
분수,2,2015
요구,13,2015
기본,5,2015
모습,15,2015
인간,2,2015
소득,72,2015
보장,18,2015
안정,16,2015
확보,7,2015
전쟁,18,2015
만큼,11,2015
노동,60,2015
등굣길,2,2015
안전,4,2015
동네,2,2015
이사,4,2015
주거,6,2015
공간,4,2015
하루아침,2,2015
어처구니,2,2015
사고,7,2015
공부,9,2015
왕따,2,2015
청년,209,2015
노년,6,2015
장성,2,2015
자녀,12,2015
서로,3,2015
출산율,11,2015
요인,2,2015
가족,20,2015
아버지,10,2015
어머니,4,2015
노인,46,2015
손자,4,2015
자식,17,2015
가능,28,2015
복지,58,2015
최고,7,2015
정치,38,2015
연결,7,2015
세대,356,2015
성장,10,2015
압축,2,2015
경제,48,2015
주의,5,2015
인사,10,2015
청문회,2,2015
부동산,8,2015
투기,2,2015
탈세,2,2015
축재,4,2015
손주,2,2015
과외,7,2015
정도,14,2015
나름,2,2015
졸지,2,2015
하우스,2,2015
타격,4,2015
기성세대,24,2015
승자,13,2015
독식,13,2015
지속,9,2015
체제,6,2015
타인,2,2015
배려,4,2015
사람,25,2015
도태,2,2015
방법,4,2015
북유럽,2,2015
대전,3,2015
위기,25,2015
소득세,3,2015
합의,31,2015
전격,2,2015
인구,47,2015
증세,8,2015
변화,10,2015
골든,5,2015
타임,5,2015
격차,5,2015
합리,5,2015
시민,3,2015
수당,10,2015
제도,34,2015
고액,3,2015
입시,2,2015
지옥,7,2015
한겨레,2,2015
일자,3,2015
조한혜정,2,2015
베이비부머,5,2015
밀레,9,2015
선거,26,2015
충돌,3,2015
노동당,12,2015
지진,2,2015
올해,1,2015
영국,11,2015
당수,4,2015
강경,2,2015
좌파,6,2015
분류,3,2015
러미,2,2015
코빈,6,2015
의원,11,2015
압도,9,2015
지지,9,2015
선출,5,2015
표현,3,2015
중도파,2,2015
블레어,3,2015
주의자,2,2015
다수,4,2015
진영,8,2015
구색,2,2015
후보,11,2015
덜컥,1,2015
당선,10,2015
때문,1,2015
베이비,19,2015
부머,3,2015
몸살,2,2015
지구촌,3,2015
변수,1,2015
전통,5,2015
파운드,1,2015
자발,1,2015
투표,19,2015
참여,14,2015
유권자,9,2015
일반,22,2015
작용,1,2015
기간,9,2015
금융위기,1,2015
글로벌,3,2015
금융,8,2015
편중,1,2015
현상,13,2015
비판,23,2015
표심,3,2015
이념,8,2015
대결,6,2015
그리스,19,2015
국제,7,2015
채권,2,2015
협상,10,2015
구제,3,2015
아테네,6,2015
광장,2,2015
정면,1,2015
총리,9,2015
렉시스,1,2015
치프,2,2015
라스,2,2015
제안,6,2015
