단어,log_odds_z,강화_정부
삼성바이오로직스,28.359999896239643,문재인정부
주영진,28.353293944876537,문재인정부
법원행정처,28.319860046227188,문재인정부
이종근,28.302281876837434,문재인정부
소년단,28.292688098823724,문재인정부
카카오뱅크,28.249389825609946,문재인정부
분양가,28.240222653445503,문재인정부
스마트시티,28.239095263401726,문재인정부
정의연,28.224363862756896,문재인정부
빅테크,28.159041809908324,문재인정부
인공,27.91905497136218,문재인정부
단거리,27.89761783587913,문재인정부
일상회복,27.879715986073887,문재인정부
김어준,27.84537997112407,문재인정부
백운규,27.84336319087062,문재인정부
화성,27.812403108162815,문재인정부
배종호,27.798263922112017,문재인정부
영변,27.78470662524603,문재인정부
지능,27.78246470860638,문재인정부
주호영,27.67767408535234,문재인정부
폐기,27.62833916015213,문재인정부
박사방,27.594227031578882,문재인정부
인프라,27.568021999478017,문재인정부
한국판,27.555663993681744,문재인정부
민노총,27.546320071704177,문재인정부
박상기,27.519878475698068,문재인정부
중환자,27.50478914926197,문재인정부
신범철,27.49460644991377,문재인정부
추경안,27.439415439464558,문재인정부
미래차,27.40610088127315,문재인정부
답방,27.378434084032286,문재인정부
조현지,27.24360388310981,문재인정부
지검장,27.23867557513211,문재인정부
김성완,27.22312288417046,문재인정부
문무일,27.210927528461834,문재인정부
봉준호,27.197846301684795,문재인정부
화이트리스트,27.197206348771502,문재인정부
비트코,27.141712671150014,문재인정부
사법부,27.13399689577673,문재인정부
음성,27.072481131464187,문재인정부
유은혜,27.015525603062194,문재인정부
사법농단,26.834970909294142,문재인정부
동양대,26.78685647172026,문재인정부
장성철,26.669502437292266,문재인정부
실무협상,26.588805539709664,문재인정부
버닝썬,26.560476985713517,문재인정부
오신환,26.544028673316394,문재인정부
원격수업,26.486070714452133,문재인정부
타다,26.456280539073052,문재인정부
전수조사,26.455378766257702,문재인정부
드론,26.42303079054283,문재인정부
패싱,26.422362258199417,문재인정부
블랙리스트,26.35425769097988,문재인정부
마이크,26.3444917887037,문재인정부
박형준,26.326466699692872,문재인정부
입국자,26.31138265614337,문재인정부
윤희숙,26.29255169911576,문재인정부
일상,26.256568311888465,문재인정부
김양원,26.200663614514504,문재인정부
주행,26.19079738407831,문재인정부
최선희,26.189657090915144,문재인정부
원희룡,26.17169282181555,문재인정부
징용,26.1650486203666,문재인정부
재산세,26.146613659194635,문재인정부
택배,26.144673070524732,문재인정부
검사장,26.144066618383423,문재인정부
남북미,26.10208414123974,문재인정부
남용,26.088305369092275,문재인정부
