단어,log_odds_z,강화_정부
카카오뱅크,28.295938495611946,문재인정부
스마트시티,28.28812962743899,문재인정부
정의연,28.265044733017863,문재인정부
빅테크,28.199628484744284,문재인정부
인공,28.020433874651278,문재인정부
단거리,27.96402886499143,문재인정부
일상회복,27.919899872147287,문재인정부
화성,27.914504897464777,문재인정부
김어준,27.89461027573429,문재인정부
지능,27.88583703611228,문재인정부
백운규,27.883494656503462,문재인정부
영변,27.84730327748453,문재인정부
배종호,27.838708686008843,문재인정부
주호영,27.75974340356122,문재인정부
폐기,27.74582691536887,문재인정부
인프라,27.702179008863155,문재인정부
박사방,27.633999247384487,문재인정부
한국판,27.627134351631135,문재인정부
민노총,27.602406640359096,문재인정부
박상기,27.561059840696068,문재인정부
중환자,27.550624164503105,문재인정부
신범철,27.535019981197504,문재인정부
추경안,27.495211870988303,문재인정부
미래차,27.44881790613492,문재인정부
답방,27.420774678757788,문재인정부
지검장,27.305760896191604,문재인정부
조현지,27.282926064118872,문재인정부
김성완,27.264683365013155,문재인정부
문무일,27.252721222714896,문재인정부
봉준호,27.251787048538432,문재인정부
화이트리스트,27.23706457867347,문재인정부
사법부,27.235624587108465,문재인정부
비트코,27.192858745618974,문재인정부
음성,27.164316538600996,문재인정부
유은혜,27.075709024318947,문재인정부
사법농단,26.87370471130302,문재인정부
동양대,26.83819356028891,문재인정부
장성철,26.70926334725699,문재인정부
실무협상,26.6327306892116,문재인정부
버닝썬,26.59875859904648,문재인정부
오신환,26.598407653615837,문재인정부
드론,26.52541432001826,문재인정부
원격수업,26.524613665868586,문재인정부
전수조사,26.51894425110901,문재인정부
타다,26.49558190877933,문재인정부
패싱,26.463565525494335,문재인정부
블랙리스트,26.446908250231655,문재인정부
마이크,26.42814250353243,문재인정부
일상,26.39455184793493,문재인정부
박형준,26.380299779173342,문재인정부
입국자,26.35537999820467,문재인정부
윤희숙,26.33578069679405,문재인정부
주행,26.296552864148254,문재인정부
원희룡,26.252521189615873,문재인정부
검사장,26.245179448185038,문재인정부
김양원,26.238742094942864,문재인정부
최선희,26.231411393153603,문재인정부
택배,26.22143012085431,문재인정부
징용,26.22114881963943,문재인정부
재산세,26.20739685339698,문재인정부
남용,26.186640010552207,문재인정부
성장,26.177984173613705,문재인정부
빌보드,26.141972625461435,문재인정부
남북미,26.140021655690713,문재인정부
서울교통공사,26.077824073940512,문재인정부
장하성,26.05780225752884,문재인정부
검사들,26.057165777275554,문재인정부
윤영찬,26.05396045403917,문재인정부
중대본,26.053280265287167,문재인정부
진전,26.030732181766403,문재인정부
얀센,25.943699628572748,문재인정부
유동규,25.936130118660756,문재인정부
다스,25.903614937246846,문재인정부
한진칼,25.876161498333463,문재인정부
정시,25.85783362106334,문재인정부
성남도시개발공사,25.848743812222445,문재인정부
최종구,25.82710021183181,문재인정부
섹터,25.826857981369884,문재인정부
특례,25.82676213537533,문재인정부
수소차,25.811941204114333,문재인정부
변창흠,25.80971633341812,문재인정부
워라밸,25.782585648067744,문재인정부
인플레이션,25.780747333921166,문재인정부
유재수,25.73791468827919,문재인정부
김혜경,25.7369761158186,문재인정부
블링컨,25.734944944716528,문재인정부
선거법,25.733415968820545,문재인정부
리얼미터,25.680473732652686,문재인정부
미래한국당,25.639974476479487,문재인정부
정의선,25.62820403097219,문재인정부
임대료,25.620911405391364,문재인정부
정호영,25.56103123113585,문재인정부
유플러스,25.53006600960498,문재인정부
송철호,25.522490881397236,문재인정부
모더나,25.507089848663796,문재인정부
곽상도,25.471545015901047,문재인정부
서지현,25.432463237767962,문재인정부
김만배,25.392227169703382,문재인정부
