num_topics,c_v,u_mass
6,0.519666649743738,-1.6706158701949096
7,0.5438424023085541,-1.6981644854168014
8,0.5180663786045475,-1.7697164460969217
9,0.5599722458672117,-1.7644781241438918
10,0.5754201295017183,-1.7722139611695886
11,0.5969578644240394,-1.8416089043055812
12,0.5640569356313135,-1.808398513406629
