단어,importance
대통령,0.01643378272938161
미국,0.014197945427553923
년,0.013674927729130261
정부,0.013285230931752129
코로나,0.012142685687116538
일,0.011751236605112483
만,0.011391257704419103
한국,0.010832530711872826
후보,0.010811722593848385
북한,0.0107689400045506
중국,0.010552669633758529
대표,0.010437489323666737
의원,0.010294675262220403
앵커,0.009748679910531344
명,0.009280013763032875
국민,0.009119915133180344
서울,0.009069163863837692
검찰,0.008556873313282316
기업,0.008492965522443729
문재인,0.008296084664555078
억,0.008022583568873068
장관,0.007959792899924458
일본,0.00793454722756337
민주당,0.007897718463691165
지원,0.00784778418947107
시장,0.007801297205771301
청와대,0.007762342517269846
경제,0.007700333544276008
평가,0.00756601766204655
수사,0.007406455298677845
생각,0.0073880351870466475
월,0.007312721129812557
위원장,0.007242000520271797
트럼프,0.007154542772853496
사업,0.007068849486110881
정책,0.006948920422874566
이날,0.00691323918077727
지역,0.0067646065974594554
조사,0.00674031808505822
상황,0.006614095708368951
국회,0.00660162484323343
공무원,0.006350739970250584
사회,0.0062194164490793815
사람,0.006016871267743342
세계,0.005714080930837131
청년,0.005610618652408056
조,0.005566290048720918
교수,0.005548173900785743
사건,0.005536096558826897
일자리,0.005535985380221598
